arrays,bitfields,comma_operators,compound_assignment,consts,embedded_assigns,pre_incr_operator,pre_decr_operator,post_incr_operator,post_decr_operator,unary_plus_operator,jumps,longlong,int8,uint8,math64,safe_math,packed_struct,pointers,structs,unions,volatiles,volatile_pointers,const_pointers,global_variables
0.24213075060532688,0.0196078431372549,0.05857974910394265,0.21551724137931033,0.23008849557522124,0.21,0.22,0.12195121951219512,0.1984126984126984,0.29411764705882354,0.20454545454545456,0.0784313725490196,0.19285714285714284,0.13229571984435798,0.2066115702479339,0.27852998065764023,0.2806859205776173,0.1,0.2813121272365805,0.06666666666666667,0.058823529411764705,0.1732283464566929,0.14285714285714285,0.20920502092050208,0.18940609951845908
0.007263922518159807,0.0,0.0015961021505376345,0.005747126436781609,0.0,0.0075,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009025270758122744,0.0,0.001988071570576541,0.0,0.0,0.003937007874015748,0.0,0.0,0.004815409309791332
0.2953995157384988,0.0,0.07424675179211469,0.09482758620689655,0.3303834808259587,0.0925,0.06,0.04878048780487805,0.23809523809523808,0.14705882352941177,0.09090909090909091,0.06862745098039216,0.34285714285714286,0.24124513618677043,0.2396694214876033,0.25338491295938104,0.07671480144404333,0.0,0.3399602385685884,0.06666666666666667,0.0,0.2637795275590551,0.5079365079365079,0.30125523012552297,0.31621187800963085
0.26876513317191286,0.0,0.07521281362007168,0.3045977011494253,0.21533923303834807,0.2975,0.18,0.36585365853658536,0.2103174603174603,0.23529411764705882,0.36363636363636365,0.27450980392156865,0.22142857142857142,0.18287937743190663,0.2272727272727273,0.20502901353965183,0.2833935018050542,0.0,0.35089463220675937,0.0,0.0,0.09842519685039369,0.031746031746031744,0.20920502092050208,0.13964686998394865
0.48426150121065376,0.0,0.1442652329749104,0.3620689655172414,0.40117994100294985,0.395,0.32,0.34146341463414637,0.3849206349206349,0.6176470588235294,0.3181818181818182,0.23529411764705882,0.36428571428571427,0.2801556420233463,0.25206611570247933,0.3849129593810445,0.4151624548736462,0.0,0.536779324055666,0.0,0.058823529411764705,0.2204724409448819,0.2698412698412698,0.38912133891213385,0.24719101123595508
0.004842615012106538,0.0,0.00025201612903225806,0.0028735632183908046,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009940357852882703,0.0,0.0,0.0,0.0,0.0,0.0016051364365971107
0.14527845036319614,0.1568627450980392,0.08389336917562723,0.10344827586206896,0.07079646017699115,0.1175,0.04,0.0975609756097561,0.1746031746031746,0.20588235294117646,0.18181818181818182,0.09803921568627451,0.12142857142857143,0.03501945525291829,0.09917355371900827,0.1702127659574468,0.1236462093862816,0.1,0.18886679920477134,0.06666666666666667,0.058823529411764705,0.07874015748031496,0.07936507936507936,0.06694560669456066,0.09309791332263243
0.3365617433414044,0.0784313725490196,0.0943100358422939,0.22126436781609196,0.2949852507374631,0.315,0.44,0.3170731707317073,0.36507936507936506,0.2647058823529412,0.3181818181818182,0.28431372549019607,0.3214285714285714,0.2529182879377432,0.19008264462809918,0.24177949709864605,0.2536101083032491,0.1,0.3896620278330019,0.06666666666666667,0.3529411764705882,0.3346456692913386,0.3968253968253968,0.2635983263598326,0.2969502407704655
0.002421307506053269,0.0,0.0003220206093189964,0.0,0.0,0.0025,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.005802707930367505,0.0009025270758122744,0.0,0.001988071570576541,0.0,0.0,0.003937007874015748,0.0,0.0,0.004815409309791332
0.36319612590799033,0.11764705882352941,0.13552867383512546,0.3045977011494253,0.2831858407079646,0.2975,0.28,0.17073170731707318,0.4126984126984127,0.38235294117647056,0.2727272727272727,0.27450980392156865,0.3071428571428571,0.21011673151750973,0.1652892561983471,0.36943907156673117,0.27346570397111913,0.1,0.44234592445328025,0.06666666666666667,0.0,0.39763779527559057,0.2857142857142857,0.25941422594142255,0.2808988764044944
0.11864406779661017,0.0392156862745098,0.03465221774193548,0.09770114942528735,0.06784660766961652,0.13,0.08,0.0975609756097561,0.1349206349206349,0.08823529411764705,0.13636363636363635,0.0392156862745098,0.18571428571428572,0.04669260700389105,0.0743801652892562,0.1411992263056093,0.1272563176895307,0.1,0.16500994035785285,0.06666666666666667,0.0,0.09842519685039369,0.1111111111111111,0.046025104602510455,0.08507223113964686
0.48426150121065376,0.0,0.10096046146953405,0.47988505747126436,0.3215339233038348,0.5275000000000001,0.54,0.6341463414634146,0.3968253968253968,0.7941176470588235,0.8181818181818182,0.3333333333333333,0.6214285714285714,0.3540856031128405,0.47520661157024796,0.620889748549323,0.6633574007220217,0.0,0.5546719681908548,0.0,0.0,0.12598425196850394,0.31746031746031744,0.25523012552301255,0.1765650080256822
