i,cfile,argc,arrays,bitfields,comma_operators,compound_assignment,consts,divs,embedded_assigns,pre_incr_operator,pre_decr_operator,post_incr_operator,post_decr_operator,unary_plus_operator,jumps,longlong,int8,uint8,float,main,math64,inline_function,muls,safe_math,packed_struct,paranoid,pointers,structs,unions,volatiles,volatile_pointers,const_pointers,global_variables,builtins
4950,7557.c,0,0,0,692,0,0,0,119,0,0,0,0,0,9,0,0,0,0,1,1,0,0,653,0,0,0,0,0,0,0,0,1,0
4951,2331.c,0,0,0,660,0,0,0,129,0,0,0,0,0,19,0,0,0,0,1,1,0,0,658,0,0,0,0,0,0,0,0,1,0
4952,880.c,1,29,0,2272,15,0,0,123,4,1,0,0,16,15,0,18,19,20,1,0,0,0,629,0,0,1,0,0,0,0,0,15,0
4953,7980.c,1,0,0,410,58,46,0,112,0,0,11,0,0,14,6,27,15,59,1,0,14,0,229,0,40,794,0,1,0,0,18,1,18
4954,412.c,0,113,0,4297,53,0,36,164,0,0,0,0,0,18,5,0,0,76,1,13,0,0,0,0,0,377,0,0,0,0,0,1,13
4955,5664.c,1,0,1,496,13,46,0,82,7,0,0,0,0,6,7,0,0,0,1,6,12,0,0,0,0,251,1,0,12,6,31,53,16
4956,2374.c,0,162,0,6491,87,102,0,152,12,10,76,10,9,29,47,89,0,88,1,158,4,0,277,0,48,409,0,0,0,0,66,1,16
4957,7512.c,0,0,0,193,28,0,0,84,0,0,0,0,0,9,25,0,0,0,1,73,0,1,0,0,0,150,0,0,0,0,0,1,16
4958,8706.c,0,121,0,4761,69,58,0,113,12,9,67,8,6,31,5,0,0,102,1,0,0,0,193,0,0,219,0,0,0,0,25,1,15
4959,5699.c,1,166,1,8799,334,42,0,369,36,27,96,37,70,82,79,57,44,46,1,309,8,0,1811,3,0,1,1,0,0,0,0,72,0
4960,2389.c,1,0,9,268,14,62,0,99,3,2,3,3,5,17,5,0,0,52,1,1,12,0,0,6,73,201,2,2,0,0,37,1,13
4961,2758.c,1,89,0,4334,91,26,0,90,6,4,91,2,14,19,0,34,38,0,1,1,0,0,417,0,0,1,0,5,45,0,0,147,0
4962,5248.c,0,78,0,8929,50,0,0,217,6,3,0,7,22,22,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,26,0
4963,8743.c,0,0,0,98,13,0,0,30,0,0,0,0,0,1,8,0,0,0,1,19,0,12,0,0,0,148,0,0,0,0,0,1,7
4964,838.c,1,0,0,506,164,0,0,147,0,0,0,0,0,13,6,0,0,0,1,1,16,66,0,0,0,1,0,1,0,0,0,1,18
4965,8392.c,1,79,1,3930,145,0,0,194,23,15,65,20,16,46,55,27,20,21,1,121,6,0,467,3,0,1,1,0,11,0,0,53,17
4966,7938.c,0,0,0,1197,0,0,0,215,0,0,0,0,0,20,0,0,0,0,1,1,0,0,1227,0,0,0,0,0,0,0,0,1,0
4967,3758.c,0,0,0,369,92,0,0,97,0,0,16,0,0,10,54,0,0,19,1,165,0,0,0,0,0,0,0,0,0,0,0,1,17
4968,4248.c,1,125,1,4511,38,64,0,60,4,2,56,9,6,8,23,58,25,26,1,71,10,0,88,0,9,331,0,5,0,0,37,1,1
