argc,arrays,bitfields,comma_operators,compound_assignment,consts,divs,embedded_assigns,pre_incr_operator,pre_decr_operator,post_incr_operator,post_decr_operator,unary_plus_operator,jumps,longlong,int8,uint8,float,math64,inline_function,muls,safe_math,packed_struct,paranoid,pointers,structs,unions,volatiles,volatile_pointers,const_pointers,global_variables,builtins
0.0,0.0007240006205719606,0.0,0.0008262295081967212,0.00032786885245901645,5.734837499283143e-05,0.0014903129657228016,0.002561475409836065,0.006305170239596468,0.06666666666666675,0.00031967213114754114,0.0,0.0,0.00014754098360655738,5.870047814207649e-05,0.0,0.0,0.0020738692474817303,0.0011913839115516582,0.0007050943063634763,0.000987997658079625,0.0,0.0,0.0,0.0004376492915807726,0.0019286403085824494,0.0,0.0003415300546448087,0.0,4.505943749436756e-05,0.0013114754098360658,0.0013334379166993486
0.0,0.003680336487907467,0.0,0.0035,0.00037500000000000006,0.00024987506246876555,0.0007575757575757576,0.006944444444444444,0.006410256410256411,0.06666666666666667,0.0004583333333333334,0.030303030303030304,0.0,8.333333333333333e-05,0.00027126736111111107,0.0,0.0,0.0,0.0021802325581395353,0.0,0.00018601190476190475,0.0,0.0,0.0,0.0008108782435129739,0.000980392156862745,0.0,0.0,0.0,0.00024987506246876555,0.0037500000000000003,0.0027910685805422647
0.0,0.002426595486532395,0.0,0.0015384615384615382,0.003307692307692308,0.00011532695190866105,0.0,0.008814102564102562,0.00591715976331361,0.13333333333333333,0.0003076923076923077,0.008741258741258742,0.0,0.0,5.0080128205128203e-05,0.0,0.0,0.0009267840593141798,0.000670840787119857,0.0,0.0008585164835164834,0.0,0.0,0.0,0.001324274527867342,0.0018099547511312218,0.0,0.0,0.0,0.00011532695190866105,0.0013076923076923079,0.002576370997423629
0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007485029940119762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0012,0.0015,0.0,0.0,0.0,0.0,0.2,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007485029940119762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0012,0.0045,0.0,0.0,0.0,0.0,0.2,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007485029940119762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.000249500998003992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0025236593059936906,0.0,0.03984,0.0031,9.995002498750622e-05,0.0,0.0375,0.015384615384615385,0.36,0.0044,0.0,0.0,0.001,0.0,0.0,0.0,0.009638554216867472,0.0,0.0,0.00580357142857143,0.0,0.0,0.0,0.0008982035928143714,0.002352941176470588,0.0,0.0,0.0,9.995002498750622e-05,0.0006000000000000001,0.0009569377990430621
0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007485029940119762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014970059880239524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.003154574132492113,0.0,0.0052,0.0,0.0,0.0,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043013,0.0,0.0,0.0,1.0,0.000499001996007984,0.0,0.0,0.0,0.0,0.0,0.0,0.004784688995215311
0.0,0.0009378463637138716,0.001977587343441002,0.0011459459459459455,1.3513513513513513e-05,6.753380066723393e-05,0.0,0.0019707207207207205,0.0,0.0,2.7027027027027027e-05,0.0,0.0,0.0,3.519144144144144e-05,0.0,0.0,0.00032562683165092806,0.0005499685732243872,0.0,0.0,0.0,0.1428571428571429,0.0,0.00019555483627339915,0.013036565977742458,0.0,0.002252252252252252,0.0,6.753380066723393e-05,0.0012702702702702706,0.001681106944264839
0.0,0.0003505082369435681,0.0013550135501355014,0.002311111111111111,0.0,2.776389582986284e-05,0.0,0.012731481481481483,0.0,0.0,0.00011111111111111112,0.0,0.0,0.0,0.00028935185185185184,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.0,0.14285714285714282,0.0,0.0010257263251275226,0.027450980392156862,0.0,0.0,0.0,0.0,0.0006666666666666666,0.0015948963317384368
0.0,0.0021030494216614094,0.0355691056910569,0.0022333333333333333,0.0,0.0,0.0,0.0008680555555555555,0.0,0.0,0.00037500000000000006,0.0,0.0,0.0,5.425347222222222e-05,0.0,0.0,0.0,0.001937984496124031,0.0,0.0,0.0,0.14285714285714282,0.0,4.1583499667332e-05,0.012745098039215688,0.0,0.0034722222222222216,0.0,0.0,0.0025000000000000005,0.003987240829346092
0.0,0.0031545741324921135,0.02032520325203252,0.018533333333333332,0.00016666666666666666,0.0002498750624687656,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.003472222222222222,0.010416666666666666,0.0,0.00872093023255814,0.01075268817204301,0.002232142857142857,0.0,0.14285714285714285,0.0,0.000499001996007984,0.023529411764705882,0.10000000000000002,0.0,0.0,8.329168748958852e-05,0.0006666666666666666,0.0
0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.000499001996007984,0.0,0.2,0.0,0.0,0.0,0.0,0.009569377990430622
0.0,0.0,0.010670731707317072,0.00019999999999999998,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0,6.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0,0.0,0.28571428571428564,0.0,0.00021831337325349298,0.030882352941176472,0.0,0.0,0.0,0.0,0.0013750000000000004,0.0011961722488038277
0.0,0.0,0.0,0.0164,0.0,0.0024987506246876567,0.0,0.14583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002232142857142857,0.0,0.2857142857142857,0.0,0.002245508982035928,0.08235294117647059,0.1,0.0,0.0,0.0009995002498750622,0.001,0.0
