c-files	sizeInCharsC	sizeInCharsAST	comma-operators	main	main-argc	bitfields	max-array-dim	max-array-len-per-dim	arrays	pointers	structs	unions	packed-struct	divs	muls	pre-incr-operator	pre-decr-operator	post-incr-operator	post-decr-operator	unary-plus-operator	funcs	longlong	float	jump	volatiles	compound-assignment	consts	inline-function	volatile-pointers	const-pointers	global-variables	builtin-func	int8_t	uint8_t	int16_t	uint16_t	int32_t	uint32_t	int64_t	uint64_t
pr82545.c	101	660	0	0	0	0	1	5	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0
pr48442.c	169	960	5	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr60505.c	118	666	2	0	0	0	1	16	1	2	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr77503.c	88	565	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0
pr64326.c	169	1167	6	0	0	1	2	5	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	4	0	0	0	0	7	0	0	0	0	0	0	0	0	0
pr71056.c	384	1533	4	0	0	0	1	2	1	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	1	0	0	1	6	6	0	0	0	0	0	0	0	0
pr37327.c	880	2963	35	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	1	0	0	5	7	1	0	1	1	2	11	0	0
pr63879-2.c	46	261	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr83100-4.c	10	72	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
pr81768-2.c	287	1597	1	0	0	0	9	15	3	3	0	0	0	1	0	0	1	1	0	0	1	0	4	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr49093.c	207	1034	6	0	0	0	1	7	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	2	0	0	0	0	5	1	0	0	0	0	0	0	0	0
pr19105.c	125	705	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr70623.c	208	1063	1	0	0	1	1	0	0	3	0	0	0	0	0	2	0	0	0	2	1	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pr48237.c	144	722	2	0	0	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	4	1	0	0	0	0	0	0	0	0
